EDIT_MODE.HINT_POINT_WINDOW,"Point at a window to change its parameters.
Once done, leave edit mode using the button on the right.",Instructions displayed to the user. “Edit mode” was previously translated as “${DEFINITIONS.EDIT_MODE}”
EDIT_MODE.INTERPOLATION,Interpolation,Option for smoothing window movement
EDIT_MODE.KEYBOARD,Keyboard,Button to toggle the keyboard. “Keyboard” was previously translated as “${DEFINITIONS.KEYBOARD}”
EDIT_MODE.LEAVE,Leave edit mode,Option to exit edit mode. “Edit mode” was previously translated as “${DEFINITIONS.EDIT_MODE}”
EDIT_MODE.LOCK_INTERACTION,Lock interaction,Option to disable pointer input on this window. The pointer laser will pass through the window completely.
EDIT_MODE.MOUSE.FLIP180,Flipped 180°,Option to mirror the mouse movement horizontally and rotate 180 degrees. Emphasize the part about mirroring / flipping (not just rotation). Keep the translation as short as possible.
EDIT_MODE.MOUSE.FLIP270,Flipped 270°,Option to mirror the mouse movement horizontally and rotate 270 degrees. Emphasize the part about mirroring / flipping (not just rotation). Keep the translation as short as possible.
EDIT_MODE.MOUSE.FLIP90,Flipped 90°,Option to mirror the mouse movement horizontally and rotate 90 degrees. Emphasize the part about mirroring / flipping (not just rotation). Keep the translation as short as possible.
EDIT_MODE.MOUSE.FLIPPED,Flipped,Option to mirror the mouse movement horizontally. Keep the translation as short as possible.
EDIT_MODE.MOUSE.NORMAL,Normal,Option to select default mouse movement behavior. Keep the translation as short as possible.
EDIT_MODE.MOUSE.ROTATE180,Rotated 180°,Option to rotate mouse movement by 180 degrees. Emphasize the part about rotation (no mirroring or flipping). Keep the translation as short as possible.
EDIT_MODE.MOUSE.ROTATE270,Rotated 270°,Option to rotate mouse movement by 270 degrees. Emphasize the part about rotation (no mirroring or flipping). Keep the translation as short as possible.
EDIT_MODE.MOUSE.ROTATE90,Rotated 90°,Option to rotate mouse movement by 90 degrees. Emphasize the part about rotation (no mirroring or flipping). Keep the translation as short as possible.
EDIT_MODE.MOUSE.TITLE,Mouse fixes,Title to adjust quirks in order to get desired mouse movement behavior
EDIT_MODE.MOUSE.WRONG_SCREEN_SELECTION_HELP,"If the cursor moves on a completely different screen,
the screens were likely selected wrong. See readme.",Tooltip to explain possible user error.
EDIT_MODE.MOVE_PRESS_AND_DRAG,Move (press & drag),Tooltip hinting to move the window by pressing and dragging with the pointer
EDIT_MODE.OPACITY,Opacity,Title. Adjust transparency of the window
EDIT_MODE.POS_ANCHORED,Anchored: Moves together with set. Default.,"Tooltip for a an option that changes movement/positioning behavior. “Anchored” was previously translated as “${DEFINITIONS.ANCHORED}”, “Set” was previously translated as “${DEFINITIONS.SET}”"
EDIT_MODE.POS_FLOATING,"Floating: Moves independently, recenters when shown.",Tooltip for a an option that changes movement/positioning behavior. “Floating” was previously translated as “${DEFINITIONS.FLOATING}”
EDIT_MODE.POS_HAND_L,Follow the left hand.,Tooltip for a an option that changes movement/positioning behavior.
EDIT_MODE.POS_HAND_R,Follow the right hand.,Tooltip for a an option that changes movement/positioning behavior.
EDIT_MODE.POS_HMD,Follow the HMD.,Tooltip for a an option that changes movement/positioning behavior.
EDIT_MODE.POS_STATIC,"Static: Not part of any set, no recenter.","Tooltip for a an option that changes movement/positioning behavior. “Static” was previously translated as “${DEFINITIONS.STATIC}”, “Set” was previously translated as “${DEFINITIONS.SET}”"
EDIT_MODE.POSITIONING,Positioning,Title for positioning modes for the window
EDIT_MODE.RESIZE_PRESS_AND_DRAG,Resize (press & drag),Tooltip on the resize button; resize overlay by pressing and dragging
EDIT_MODE.RESIZE_CORNER,Drag to resize,Tooltip when user is hovering the resize grip of a window
EDIT_MODE.STEREO_3D_MODE.ADJUST_MOUSE,Adjust mouse,Checkbox to adjust mouse movement for 3D mode
EDIT_MODE.STEREO_3D_MODE.FULL_FRAME,Full 3D,Checkbox to use full 3D frame
EDIT_MODE.STEREO_3D_MODE.FULL_FRAME_BAT,Full-BAT,Checkbox to use full frame BAT (bottom-left / top-right) 3D format
EDIT_MODE.STEREO_3D_MODE.FULL_FRAME_SBS,Full-SBS,Checkbox to use full frame SBS (side-by-side) 3D format
EDIT_MODE.STEREO_3D_MODE.FULL_FRAME_TAB,Full-TAB,Checkbox to use full frame TAB (top-bottom / left-right) 3D format
EDIT_MODE.STEREO_3D_MODE.SPLIT_BOTTOM_TOP,BOTTOM→TOP,"Side-by-side 3D mode selection. Bottom half shows to left eye, top half to right eye"
EDIT_MODE.STEREO_3D_MODE.SPLIT_LEFT_RIGHT,LEFT→RIGHT,"Side-by-side 3D mode selection. Left half shows to left eye, right half to right eye"
EDIT_MODE.STEREO_3D_MODE.SPLIT_RIGHT_LEFT,RIGHT→LEFT,"Side-by-side 3D mode selection. Right half shows to left eye, left half to right eye"
EDIT_MODE.STEREO_3D_MODE.SPLIT_TOP_BOTTOM,TOP→BOTTOM,"Side-by-side 3D mode selection. Top half shows to left eye, bottom half to right eye"
EDIT_MODE.STEREO_3D_MODE.TITLE,3D Stereo Mode,Title for “Stereo 3D display mode” section
ALTTAB.RELEASE_TO_FOCUS,Aim at an app and release Super to focus that app.,Instructions on how to control the task switcher.
ALTTAB.WHILE_AIMING,While aiming,Title of a section of key bindings that can be activated while aiming the laser.
ALTTAB.CLICK,VR pointer click,Key binding action that mimics a click with the VR laser pointer.
ALTTAB.GRABALL,Move entire set,Key binding action to grab and move the entire set. “Set” was previously translated as “${DEFINITIONS.SET}”
ALTTAB.GRAB,Move individual overlay,Key binding action to grab and move a single overlay. “Overlay” was previously translated as “{$DEFINITIONS.OVERLAY}”
ALTTAB.DASH,Toggle dashboard,Key binding action that toggles the dashboard. “Dashboard” was previously translated as “${DEFINITIONS.DASHBOARD}”
ALTTAB.EDIT,Toggle edit mode,Key binding action that toggles edit mode. “Edit mode” was previously translated as “${DEFINITIONS.EDIT_MODE}”
ALTTAB.SET,Switch set,Key binding action to switch between sets. “Set” was previously translated as “${DEFINITIONS.SET}”
ALTTAB.RECENTER,Show/hide/recenter,"Key binding action to show, hide, or recenter the current set. “Set” was previously translated as “${DEFINITIONS.SET}”"
ALTTAB.GENERAL_BINDS,General bindings,Title for key bindings that don’t need any specific criteria
ALTTAB.TOGGLE_CAPTURE,Give control back to desktop,Key binding action that releases exclusive input capture
ALTTAB.FOCUS_MODE,Focus mode (hold Super),"Key binding action to enter into a task-switcher kind of mode, like Alt-Tab."
ALTTAB.CLOSE,Close focused app,Key binding action to close the application that is being aimed at.
ALTTAB.MOUSE,Real mouse clicks & scroll also translate to VR pointer,Help text explaining to the user that clicks and scroll with their real (physical) mouse will act as if it was done using a VR controller.
GRAB.ADJUST_DISTANCE,Adjust distance,Key binding action to adjust distance of the window in 3D space (in a push/pull motion)
GRAB.ADJUST_SIZE,Adjust size,Key binding action to adjust size of the window
GRAB.GRABBING_ANCHORED,Anchored overlays move with the set. Separate a single window by grabbing it with the other hand while still grabbing the set.,"Help explanation. “Anchored” was previously translated as “${DEFINITIONS.ANCHORED}”, “Set” was previously translated as “${DEFINITIONS.SET}”"
